numero,latitud,longitud,fecha,tmax,tmin
22581,22.16502778,-102.2951944,2003-05-01 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-02 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-03 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-04 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-05 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-06 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-07 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-08 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-09 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-10 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-11 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-12 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-13 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-14 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-15 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-16 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-17 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-18 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-19 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-20 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-21 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-22 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-23 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-24 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-25 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-26 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-27 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-28 00:00:00,-999,-999
22581,22.16502778,-102.2951944,2003-05-29 00:00:00,27.8,17.5
22581,22.16502778,-102.2951944,2003-05-30 00:00:00,27.9,13.6
22581,22.16502778,-102.2951944,2003-05-31 00:00:00,29.5,13.5
